,root,intermediate,edge
DR,1.0,-0.07894077036317172,-0.2782687391299476
FPR,-0.1661237785016286,0.1727405609332177,0.2767942855419164
F1,0.8832951945080092,0.11098828326240709,-0.10218179633634764
