,root,intermediate,edge
DR,1.0,0.03882820378756693,-0.46230867637876144
FPR,-0.1389396709323583,0.08657215072168385,0.4323748605068733
F1,0.9216683621566631,0.17987530116658051,-0.2215273473964748
