,root,intermediate,edge
DR,1.0,-0.16580055633319124,-0.04174554529136203
FPR,-0.10526315789473681,0.23863594893891768,0.06480343391916289
F1,0.9203539823008848,0.004307982882760608,0.0032340357554280275
