,root,intermediate,edge
DR,1.0,0.10121292066169603,-0.41244263016022903
FPR,-0.1661237785016286,0.014905879918271336,0.3736734281114329
F1,0.8832951945080092,0.23624435224279888,-0.20587260891232817
